Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
23/05/2021;494;Arsenal;0;Brighton;2;0;
23/05/2021;495;Aston Villa;519;Chelsea;2;1;
23/05/2021;535;Fulham;562;Newcastle;0;2;
23/05/2021;0;Leeds;597;West Brom;3;1;
23/05/2021;0;Leicester;593;Tottenham;2;4;
23/05/2021;550;Liverpool;0;Crystal Palace;2;0;
23/05/2021;555;Man City;8560;Everton;5;0;
23/05/2021;0;Sheffield United;0;Burnley;1;0;
23/05/2021;598;West Ham;0;Southampton;3;0;
23/05/2021;600;Wolves;556;Man United;1;2;
